preference,cost,co2,neg_pref_raw
219.2503610883363,33.33964162963552,89.64964162963552,-219.2503610883363
229.5472882639041,38.62271388186309,84.35271388186308,-229.5472882639041
36.092145946186065,4.247853875000001,20.907853875,-36.092145946186065
26.292679947581288,11.357319957051283,3.0073199570512825,-26.292679947581288
197.86330189541997,44.576700965602974,40.83670096560297,-197.86330189541997
26.264566685170493,6.575433791666667,5.235433791666667,-26.264566685170493
229.5472882639041,38.62271388186309,84.35271388186308,-229.5472882639041
218.34630419051678,38.43369943344564,64.05369943344564,-218.34630419051678
213.98789416679682,38.04210878959355,70.51210878959354,-213.98789416679682
189.32502983068537,28.384972362765556,58.27497236276556,-189.32502983068537
133.25562553778607,18.14437628611605,24.04437628611605,-133.25562553778607
169.82528932463123,41.264712010512824,43.474712010512825,-169.82528932463123
153.54960990380184,37.4303917651282,28.750391765128207,-153.54960990380184
154.83425333790643,24.665748867465418,34.665748867465425,-154.83425333790643
45.32367266110229,5.276327625,17.276327625,-45.32367266110229
196.51313554883473,43.026865321393096,39.68686532139309,-196.51313554883473
192.82392020057586,34.036082004796,50.676082004796,-192.82392020057586
189.68007468863036,27.739927361769414,72.8199273617694,-189.68007468863036
169.0582054115829,41.38179593548209,32.14179593548209,-169.0582054115829
189.1596621226884,43.93033874753942,38.14033874753943,-189.1596621226884
211.86098921758423,32.329013405020135,81.63901340502014,-211.86098921758423
185.24634516163127,31.213656185433706,49.853656185433714,-185.24634516163127
83.98482014798061,8.51518099642857,18.41518099642857,-83.98482014798061
91.95819102420319,10.921809738736261,11.541809738736262,-91.95819102420319
199.6694438454713,33.490558634081914,53.830558634081925,-199.6694438454713
46.923770587913005,11.816231033333336,4.076231033333333,-46.923770587913005
219.2503610883363,33.33964162963552,89.64964162963552,-219.2503610883363
179.33116856290235,21.148833487497434,70.96883348749743,-179.33116856290235
181.9497250055077,29.680277664780373,55.550277664780374,-181.9497250055077
53.922656200878905,6.187345324999999,22.277345325000002,-53.922656200878905
139.4545473618941,22.185454545454547,17.845454545454547,-139.4545473618941
82.42771200646973,26.832288375,9.672288375,-82.42771200646973
212.39062775681717,35.81937467505233,74.70937467505232,-212.39062775681717
38.27443961477661,11.185561625,3.4255616250000003,-38.27443961477661
160.08313947366253,22.506861587300147,36.81686158730016,-160.08313947366253
50.617106990708415,7.1128940583333335,5.982894058333333,-50.617106990708415
71.2446179904569,9.335382867849985,15.555382867849984,-71.2446179904569
180.51534698530338,36.51465449289183,47.08465449289183,-180.51534698530338
168.7154370948403,21.87456495555947,60.88456495555947,-168.7154370948403
163.16312862653746,35.44687244634616,32.63687244634615,-163.16312862653746
198.5576227387286,30.632379752745532,53.04237975274553,-198.5576227387286
171.54442905238113,24.95557304570236,55.95557304570237,-171.54442905238113
87.97832198142565,16.63167983055556,9.921679830555556,-87.97832198142565
175.35006962424637,25.009932569204548,54.14993256920455,-175.35006962424637
140.95454664663836,14.045454545454545,48.14545454545455,-140.95454664663836
207.4747292922705,29.92527286541763,55.42527286541763,-207.4747292922705
117.42899815289329,16.03100461276224,33.57100461276224,-117.42899815289329
158.32188129942898,20.968119237012825,45.97811923701283,-158.32188129942898
171.30269857743284,42.497302578897276,33.397302578897275,-171.30269857743284
56.10746591757202,12.702534750000002,5.492534750000001,-56.10746591757202
31.495578550905353,4.8344221166666665,7.604422116666667,-31.495578550905353
95.60677461105821,19.633227105555555,12.193227105555557,-95.60677461105821
123.44568505239684,17.044316199300702,21.7543161993007,-123.44568505239684
107.84444549348619,13.815555555555553,15.855555555555554,-107.84444549348619
153.0500015735626,26.220000000000002,28.45,-153.0500015735626
67.18037863423869,8.249622033333333,16.51962203333333,-67.18037863423869
144.95000119209288,25.02,27.45,-144.95000119209288
212.47720212899821,38.03280082739215,61.82280082739216,-212.47720212899821
103.5358368305243,11.704163461538462,37.26416346153846,-103.5358368305243
218.33133096750527,34.648671559731675,88.56867155973167,-218.33133096750527
180.6511690019886,23.618832380839162,61.44883238083917,-180.6511690019886
52.64235471780333,9.847645377564104,10.557645377564102,-52.64235471780333
125.80299383757367,13.00700735451923,45.497007354519226,-125.80299383757367
167.35464338405785,31.995358284872207,43.84535828487221,-167.35464338405785
147.77451325120444,20.195488095860522,34.32548809586053,-147.77451325120444
199.35766165340064,27.402341207622314,74.24234120762232,-199.35766165340064
99.42385650994017,10.136144157631858,14.67614415763186,-99.42385650994017
130.01239442821068,15.79760710958916,40.087607109589165,-130.01239442821068
79.03486845271607,13.97513355,8.86513355,-79.03486845271607
217.03598933241076,33.10401371934705,79.26401371934706,-217.03598933241076
149.85298628587557,34.49701487045454,20.047014870454547,-149.85298628587557
114.76394513234864,22.926056775000003,14.636056775000002,-114.76394513234864
36.092145946186065,4.247853875000001,20.907853875,-36.092145946186065
63.71962806754557,7.030373458333333,23.280373458333333,-63.71962806754557
188.05569179779823,26.014309680396963,78.04430968039695,-188.05569179779823
61.05543462776896,7.604565658333334,19.544565658333333,-61.05543462776896
123.11526787553426,18.004734317916668,15.684734317916668,-123.11526787553426
74.55731329771481,15.242687763247865,8.142687763247864,-74.55731329771481
165.5584641850277,18.1215366375164,52.0415366375164,-165.5584641850277
31.495578550905353,4.8344221166666665,7.604422116666667,-31.495578550905353
207.4747292922705,29.92527286541763,55.42527286541763,-207.4747292922705
104.91210425734863,19.88789765,13.387897650000001,-104.91210425734863
97.49873863944079,19.101262981805558,12.401262981805557,-97.49873863944079
148.33541388741736,25.97458763846154,19.26458763846154,-148.33541388741736
110.84444597032335,11.205555555555556,42.75555555555556,-110.84444597032335
110.35639498887357,16.113605392596153,15.143605392596154,-110.35639498887357
217.03598933241076,33.10401371934705,79.26401371934706,-217.03598933241076
64.02525990290972,8.104741634890111,23.774741634890113,-64.02525990290972
97.3009443971605,14.899057605555559,12.399057605555557,-97.3009443971605
218.33133096750527,34.648671559731675,88.56867155973167,-218.33133096750527
125.75000138282776,18.830000000000002,23.849999999999998,-125.75000138282776
211.86098921758423,32.329013405020135,81.63901340502014,-211.86098921758423
128.29350043158433,15.146500820113213,34.10650082011321,-128.29350043158433
57.61666742960612,7.513333333333334,17.183333333333334,-57.61666742960612
142.0498352523245,23.280167322596157,28.750167322596155,-142.0498352523245
169.43758475234304,25.252416308619626,50.062416308619625,-169.43758475234304
106.20909021999634,15.580911401250004,14.090911401250004,-106.20909021999634
159.85499220021322,21.57500889651224,49.34500889651224,-159.85499220021322
149.53062397319894,21.569378220251988,45.06937822025199,-149.53062397319894
69.70933474856263,10.630666825,8.590666825,-69.70933474856263
